"","variances","targets"
"1",0.0112987555776631,0.0172
"2",0.0188880418616952,0.0196
"3",0.0198385445136139,0.016
"4",0.0209849872822174,0.0178
"5",0.0186118944262778,0.0192
"6",0.0242736033065526,0.016
"7",0.0195649829637251,0.0154
"8",0.0173361199403632,0.0184
"9",0.0179621449406612,0.016
"10",0.0210837639120947,0.0166
"11",0.0166734325851274,0.0162
"12",0.0149400974141728,0.0154
"13",0.0157377173417583,0.0176
"14",0.0166073452382015,0.0176
"15",0.0146139495668437,0.0176
"16",0.0188817378630037,0.0158
"17",0.0217069158376147,0.0162
"18",0.0190445498148219,0.019
"19",0.0233869022688307,0.019
"20",0.020508017034628,0.0156
"21",0.0193449600425635,0.0158
"22",0.0170433880126259,0.0168
"23",0.0181474588469219,0.0148
"24",0.0138734621411369,0.019
"25",0.0283051846487697,0.0186
"26",0.026505056117373,0.0206
"27",0.0193261564879352,0.0192
"28",0.0205648170411548,0.0162
"29",0.0250343785584009,0.016
"30",0.0166792714160967,0.0166
"31",0.0187209097136697,0.0166
"32",0.0169333634671296,0.02
"33",0.0177130766910195,0.015
"34",0.0196344397879573,0.0202
"35",0.0207251771758664,0.0186
"36",0.0304327188154394,0.017
"37",0.0135452872662655,0.016
"38",0.0217825002839189,0.0154
"39",0.0152885902323657,0.0188
"40",0.0217480227509572,0.0168
"41",0.021065591698814,0.017
"42",0.0166266069304023,0.0154
"43",0.0188179831113957,0.016
"44",0.0222744064070315,0.0178
"45",0.017121446074954,0.018
"46",0.0156287616009756,0.0172
"47",0.0150716006402096,0.016
"48",0.0285970509170939,0.0194
"49",0.0190334108469316,0.0174
"50",0.0159762912968646,0.0168
"51",0.0217891440851311,0.0172
"52",0.0205922773118856,0.0176
"53",0.0213804419578387,0.018
"54",0.0134285351576691,0.0174
"55",0.0213194482801052,0.017
"56",0.0197358026384329,0.0182
"57",0.0164335457111465,0.0162
"58",0.0201376173161453,0.015
"59",0.0254931592518557,0.017
"60",0.0182665896607856,0.0184
"61",0.019879390358492,0.0164
"62",0.0231574860935863,0.017
"63",0.0179048934431423,0.018
"64",0.0220229749245921,0.0188
"65",0.0274269290918045,0.016
"66",0.0256796116949811,0.0166
"67",0.0143301571502245,0.017
"68",0.0164850196833828,0.0184
"69",0.0152705859296676,0.018
"70",0.0157959030118535,0.0194
"71",0.0174914521041171,0.0208
"72",0.0189846780492227,0.019
"73",0.0216683622744216,0.0156
"74",0.0182876118066904,0.0174
"75",0.02037547421695,0.0184
"76",0.0155713404992627,0.0192
"77",0.0244542368836422,0.0152
"78",0.0211411333914389,0.0202
"79",0.0216838069835466,0.0152
"80",0.0157823403554011,0.0162
"81",0.0194055861064759,0.019
"82",0.0208613266394342,0.0222
"83",0.0156424674504642,0.0172
"84",0.0218399799596887,0.017
"85",0.0299063554574059,0.0176
"86",0.0196533577133634,0.0164
"87",0.0209669644108103,0.0178
"88",0.0164628211838798,0.0198
"89",0.0198786217610026,0.0188
"90",0.0194851691222009,0.0188
"91",0.022727544723626,0.0156
"92",0.0196165183104437,0.0188
"93",0.0177406233827104,0.0176
"94",0.0283615385002863,0.0182
