"","variances","targets"
"1",0.00479427594512524,0.0044125
"2",0.00402999461138894,0.004625
"3",0.0053840251813909,0.0045
"4",0.0051276744139878,0.004375
"5",0.00562776393241585,0.004075
"6",0.00456549962229116,0.00455
"7",0.00598038493710598,0.0045625
"8",0.00574215708938959,0.004125
"9",0.00569541567449374,0.0042875
"10",0.00543047816173382,0.0045875
"11",0.00475736351390739,0.004825
"12",0.00424175209185967,0.004375
"13",0.00530685744287992,0.0040875
"14",0.00553398052270664,0.004275
"15",0.00521832080540746,0.0042875
"16",0.00534514910700449,0.0045375
"17",0.0050056506811428,0.00435
"18",0.00498703380806238,0.004325
"19",0.00467510193115583,0.004225
"20",0.00527187869581817,0.004525
"21",0.00503955667169888,0.0043625
"22",0.00461350138597328,0.004425
"23",0.00430440909568491,0.0043
"24",0.00544367932687357,0.0042375
"25",0.00480695969256511,0.004375
"26",0.00513104430039505,0.004275
"27",0.00472211316693629,0.004275
"28",0.00507299118531782,0.00435
"29",0.00516138424857448,0.0046375
"30",0.00407333281334326,0.0043625
"31",0.00516016414149055,0.0044875
"32",0.00431568248810372,0.0040875
"33",0.00499490411882907,0.0041
"34",0.00481472287305324,0.0042625
"35",0.00495119079806729,0.00415
"36",0.00558321178374494,0.0044
"37",0.00450022427893053,0.00445
"38",0.00503343835883156,0.0041
"39",0.00470750929485464,0.00445
"40",0.00515955512320999,0.0042625
"41",0.00453501990258641,0.004525
"42",0.00492431421070415,0.004375
"43",0.00443238133298361,0.004275
"44",0.00410463101510944,0.004325
"45",0.00454666188439896,0.004275
"46",0.00382951693479493,0.00435
"47",0.00559040267114809,0.0042
"48",0.00633446827988316,0.004225
"49",0.00423856304328127,0.004275
"50",0.00536972309324983,0.0041625
"51",0.00633503064319711,0.0042625
"52",0.00485495011879904,0.004525
"53",0.00507735730873415,0.0040125
"54",0.00501693702295016,0.004575
"55",0.00491176355749575,0.0041875
"56",0.00436970078295449,0.00475
"57",0.00614961243449603,0.0043
"58",0.00465880894806333,0.0041125
"59",0.00416716232224888,0.00425
"60",0.00557689759057332,0.0043
"61",0.0058346892231183,0.00425
"62",0.00466649735801469,0.004275
"63",0.00547790237768315,0.0042125
"64",0.00575868211635868,0.0040375
"65",0.00634046259713922,0.00435
"66",0.00475810794076927,0.004275
"67",0.00486251269869034,0.004225
"68",0.00481922226905393,0.0040625
"69",0.00519385482616476,0.0040875
"70",0.00491625940972234,0.0043875
"71",0.00456066190309934,0.00435
"72",0.0047603702107345,0.0045
"73",0.00443461985719152,0.004175
"74",0.00552442664443547,0.0044125
"75",0.0057802073990398,0.0040375
"76",0.00510952603823455,0.003875
"77",0.00545407140000052,0.0043625
"78",0.00527234152800396,0.004325
"79",0.00454555456247062,0.00455
"80",0.00513500592547104,0.0044625
"81",0.00427874685429638,0.0042875
"82",0.00497996882931234,0.0044875
"83",0.00562703132648154,0.0047
"84",0.00410459593199751,0.0044375
"85",0.0056369317696609,0.0046125
"86",0.00468269218214756,0.0044625
"87",0.00512297709205741,0.0041875
"88",0.00387657118736937,0.0041375
"89",0.00436180816969651,0.004475
"90",0.00551164876506725,0.0043875
"91",0.00486730964963255,0.0043
"92",0.00431555022706278,0.0045125
"93",0.00569016514153111,0.004325
"94",0.00492388281210853,0.004275
"95",0.00525773867577573,0.0039875
"96",0.00443274075211927,0.0044875
"97",0.00508878555318134,0.0045375
"98",0.00453801669482428,0.004575
"99",0.0050690886945124,0.0041375
"100",0.0053611665647761,0.00445
"101",0.00451312194851879,0.004525
"102",0.0059326991054813,0.0041125
"103",0.00373929343626894,0.00455
"104",0.00458065804348778,0.004375
"105",0.00444624927036168,0.0042875
"106",0.00466486201536812,0.004425
"107",0.00597313917292208,0.004525
"108",0.006101401199499,0.004225
"109",0.0044681685950911,0.004375
"110",0.00558971177865488,0.004525
"111",0.00495723412670874,0.004325
"112",0.00451849174720405,0.0043625
"113",0.00513292767823348,0.004625
"114",0.00532480979246269,0.0044625
"115",0.00423528924051567,0.0043625
"116",0.00445352304077226,0.004325
"117",0.00515851368885823,0.0044875
"118",0.00529074687412614,0.004275
"119",0.00435739668926661,0.0041875
"120",0.00585449706212063,0.0044625
"121",0.00416443185392021,0.004575
"122",0.0051079570239834,0.0041375
"123",0.00532878740666863,0.004825
"124",0.00451528249143074,0.004
"125",0.00456837918001831,0.0042
